GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline,Game Id,School,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,totalFumbles,Outcome
401287889,1,Stanford,Kansas State,52,9,0.0767607529369998,3.991559152723993,0.3269230769230769,1.4768871052636845,0.6666666666666666,0.2222222222222222,2.7555555555555555,50,0.6111111111111112,11,0.3333333333333333,6.0,0.1366957372916571,0.4117647058823529,1.2968224178103362,-0.0364497730662416,0.1666666666666666,2.317188980045976,-0.1599331128414545,-2.878796031146181,0.2222222222222222,0.7552307758179878,0.2020692701138286,6.870355183870174,0.3823529411764705,1.698935206631591,45,10,0.2786056178747842,12.53725280436529,0.4,1.6044621061797948,1.0,0.1428571428571428,3.75,105,1.6785714285714286,47,2.9285714285714284,82,0.0862650357291815,0.5172413793103449,1.203880985135044,0.6272229230136892,0.1875,3.607367711403549,0.5357945990435996,15.002248773220789,0.3928571428571428,1.7456990579874696,-0.1449997628738528,-2.464995968855498,0.4117647058823529,1.3825183247677346,401287889,2021,Kansas State,24,0.988548003,1447,1497,Stanford,7,0.011451997,1491,1441,3.04085187,401287889,Kansas State,24,Stanford,7,Bovada,54.0,-3.5,Kansas State -3.5,0.0,52.5,-160.0,140.0,401287889,Stanford,0,0,0,0,0,1,21,0,1,1,0,0,1,6,0,31,3,1,0,32:53,2,0,2,9-65,1.8,22,39,6.5,23-30,194,233,1-1,4-12,14,1,-1
401309843,2,Stanford,USC,52,10,0.3155276390365296,16.407437229899543,0.4423076923076923,1.6436572601257766,1.0,0.2666666666666666,1.4333333333333331,43,0.6,18,2.7333333333333334,82.0,0.3025489419468226,0.4857142857142857,1.4339388204522192,0.3422484859859264,0.3529411764705882,2.237859505867522,-0.0661427887816984,-1.9842836634509533,0.3333333333333333,1.324421951687683,0.8359873133341135,18.39172089335049,0.5909090909090909,1.889222882001233,75,11,0.1771703705169752,13.287777788773145,0.5733333333333334,0.7747380726254036,0.75,0.1212121212121212,3.9,129,1.303030303030303,43,0.7878787878787878,26,0.2977558309101503,0.639344262295082,0.7261735435069446,-0.3482377069104306,0.2857142857142857,1.2482422315303787,0.3523793193559187,11.62851753874532,0.696969696969697,0.7137553794980308,0.0395061964292339,1.659260250027825,0.4761904761904761,0.8448681697218824,401309843,2021,USC,28,0.00971344,1672,1616,Stanford,42,0.99028656,1441,1497,3.501533379,401309843,USC,28,Stanford,42,Bovada,53.5,-17.0,USC -17.0,-17.5,51.0,-1000.0,600.0,401309843,Stanford,0,3,1,0,1,2,58,0,2,6,31,1,1,1,1,43,0,0,7,17:30,0,0,0,5-27,4.7,30,141,10.2,16-23,234,375,1-1,5-10,17,0,1
401282080,3,Stanford,Vanderbilt,55,11,0.3832171304916212,21.076942177039168,0.4545454545454545,1.5311342662214908,0.3333333333333333,0.16,3.7,93,1.4,35,4.12,103.0,0.3431692675701957,0.5238095238095238,1.362259148270742,0.5126025337762268,0.2307692307692307,2.769551797860314,0.4461995791773715,11.154989479434288,0.4,1.9176397796242968,0.3307317565868293,9.92195269760488,0.5,1.2734639239529535,83,12,0.1739845243690956,14.44071552263494,0.3975903614457831,1.1596516630072549,0.625,0.1395348837209302,3.34186046511628,144,1.162790697674419,50,1.813953488372093,78,0.0397312211846247,0.4363636363636363,0.8012440557405889,0.4376963699100207,0.3214285714285714,2.1154052823850304,0.2967787605707074,12.761486704540417,0.4883720930232558,1.0159626690597072,0.0419807204523631,1.679228818094524,0.3,1.411107402415463,401282080,2021,Vanderbilt,23,0.083776142,1240,1222,Stanford,41,0.916223858,1497,1515,2.788472833,401282080,Vanderbilt,23,Stanford,41,Bovada,48.5,13.0,Stanford -13.0,11.0,48.5,345.0,-470.0,401282080,Stanford,0,3,82,0,4,2,71,0,2,11,6,0,1,3,0,43,1,4,7,28:38,0,0,0,8-53,7.6,27,204,7.5,19-29,218,422,1-2,2-9,20,0,1
401309858,4,Stanford,UCLA,55,18,0.4401666218598254,24.2091642022904,0.3636363636363636,1.8661698529232296,1.0,0.1052631578947368,4.078947368421052,78,1.263157894736842,24,3.473684210526316,66.0,0.2645007376373712,0.4333333333333333,1.3878384790493898,0.6509656829267704,0.28,2.754499547260361,0.4838793317860276,9.193707303934524,0.5263157894736842,1.1414283560688012,0.4170960249543298,15.015456898355874,0.2777777777777778,2.5909113497776586,78,28,0.3857666195152054,30.08979632218602,0.5256410256410257,1.0938999277380763,0.8333333333333334,0.1276595744680851,4.148936170212766,195,1.4893617021276595,70,2.2127659574468086,104,0.3614110778488343,0.6071428571428571,0.910424391428414,0.4477625437568772,0.3181818181818182,1.985066818385008,0.4829509543879722,22.69869485623469,0.5957446808510638,0.9570015223609812,0.2384226279339137,7.391101465951325,0.4193548387096774,1.3887580316272046,401309858,2021,Stanford,24,0.06167729,1515,1501,UCLA,35,0.93832271,1621,1635,4.661778354,401309858,Stanford,24,UCLA,35,Bovada,60.0,4.0,UCLA -4.0,3.5,59.0,160.0,-185.0,401309858,Stanford,0,0,15,0,1,3,66,0,2,6,0,0,0,5,0,36,4,4,3,22:25,0,0,0,4-25,3.0,22,67,9.2,19-32,293,360,1-1,5-14,11,0,-1
401309864,5,Stanford,Oregon,71,13,0.1505613037437083,10.689852565803294,0.3943661971830985,1.1000173387107943,0.4285714285714285,0.2424242424242424,2.8545454545454545,94,0.8181818181818182,27,0.5151515151515151,17.0,-0.0055375562009526,0.4042553191489361,0.901878942762532,0.4562549044686695,0.375,1.5183095079349045,-0.0220400255116058,-0.7273208418829931,0.3636363636363636,0.7960441039007791,0.3004519317812181,11.417173407686288,0.4210526315789473,1.3279972648183065,79,12,0.0853667096187624,6.743970059882231,0.4810126582278481,0.8567910530864851,0.6,0.0980392156862745,3.307843137254902,169,0.7647058823529411,39,0.4313725490196078,22,0.0450360581848832,0.5483870967741935,0.6893970961919005,0.2324549677893804,0.2352941176470588,2.2796396866904534,0.1556952030448101,7.940455355285316,0.5686274509803921,0.7372221675202796,-0.0427316176929673,-1.1964852954030856,0.3214285714285714,1.2420685732442582,401309864,2021,Stanford,31,0.371134472,1501,1525,Oregon,24,0.628865528,1738,1714,8.186895565,401309864,Stanford,31,Oregon,24,Bovada,57.5,8.5,Oregon -8.5,7.0,58.5,255.0,-310.0,401309864,Stanford,0,1,17,0,2,3,53,0,2,7,4,0,1,6,0,45,2,2,3,29:31,0,0,0,10-59,3.5,35,124,6.4,20-36,230,354,0-1,5-14,23,1,1
401309868,6,Stanford,Arizona State,65,11,-0.0728706975668374,-4.7365953418444375,0.3538461538461538,1.5155181550651542,0.0,0.2666666666666666,2.086666666666667,31,0.3333333333333333,5,0.5333333333333333,8.0,-0.2331093888494548,0.3902439024390244,1.289976680376841,0.2008704000409671,0.2916666666666667,2.0310415257812977,-0.2874499321580834,-4.3117489823712525,0.0666666666666666,1.5401212831694693,-0.0084969271894637,-0.4248463594731853,0.44,1.5143998310604123,67,11,0.2112062788645669,14.150820683925984,0.4925373134328358,1.228216199708988,0.7142857142857143,0.238095238095238,2.7976190476190474,118,1.5,63,2.357142857142857,99,0.1405747342131853,0.5714285714285714,1.1031857218825825,0.403481039304439,0.2777777777777778,1.92838687553686,0.1708687870061728,7.1764890542592585,0.5714285714285714,1.043064346710931,0.278973265186669,6.974331629666726,0.36,1.7219544743704736,401309868,2021,Arizona State,28,0.997286963,1729,1750,Stanford,10,0.002713037,1525,1504,2.721692536,401309868,Arizona State,28,Stanford,10,Bovada,53.5,-13.5,Arizona State -13.5,-10.5,52.0,-520.0,375.0,401309868,Stanford,1,0,15,0,1,1,0,0,0,4,0,0,0,6,0,41,2,0,1,28:06,3,0,3,4-40,0.7,20,13,7.9,27-45,356,369,1-3,5-14,20,1,-1
401309873,7,Stanford,Washington State,67,12,0.1694244211994579,11.35143622036368,0.4477611940298507,1.0878853771066666,0.625,0.2580645161290322,2.283870967741936,71,0.6129032258064516,19,0.2580645161290322,8.0,0.009490915364786,0.5,0.7079201862579726,0.5197549577896914,0.3333333333333333,2.3363424327523754,-0.0557167315790695,-1.7272186789511568,0.3870967741935484,0.8204194634247934,0.3632959694254121,13.078654899314836,0.5,1.2661959862279155,57,13,0.2914592713481397,16.613178466843962,0.4210526315789473,1.5235716758488944,0.75,0.1923076923076923,2.8615384615384616,74,1.1153846153846154,29,0.8461538461538461,22,0.1915275194629531,0.5,1.3163937245495965,0.5265928051956374,0.2352941176470588,2.559461432345384,0.232279638103834,6.039270590699686,0.5,0.9927812594923666,0.3410938024562669,10.573907876144276,0.3548387096774194,2.150869440633882,401309873,2021,Washington State,34,0.582267318,1472,1473,Stanford,31,0.417732682,1504,1503,8.972799539,401309873,Washington State,34,Stanford,31,Bovada,53.0,-1.0,Washington State -1.0,2.5,50.5,-115.0,-105.0,401309873,Stanford,0,1,19,0,1,2,91,0,4,11,0,0,0,4,0,28,1,3,3,32:59,0,2,2,8-60,2.2,35,76,8.5,23-32,273,349,0-0,5-13,20,2,-1
401309883,9,Stanford,Washington,60,10,-0.0238883169431724,-1.4332990165903454,0.45,0.917133462818472,0.75,0.1923076923076923,2.1307692307692307,55,0.4615384615384615,12,,,0.0264825130015223,0.4897959183673469,0.8177670270047146,-0.2482674685149946,0.2727272727272727,1.7120649493285305,-0.045763664532502,-1.1898552778450522,0.5,0.6147645725348989,0.1859750242217289,5.951200775095327,0.4375,1.1979045752246469,67,11,0.1514104495834387,10.144500122090395,0.4776119402985074,0.8000886914828691,0.5714285714285714,0.0697674418604651,3.983720930232558,171,1.3023255813953487,56,0.7674418604651163,33,0.1344863275334789,0.5,0.7436827457969596,0.2217106488678869,0.3846153846153846,1.1046807981867806,0.1440780098301844,6.195354422697929,0.4883720930232558,0.7273610670882341,0.1645477374746861,3.9491456993924654,0.4583333333333333,0.9389323380544448,401309883,2021,Stanford,13,0.051988091,1503,1502,Washington,20,0.948011909,1665,1666,6.140010982,401309883,Stanford,13,Washington,20,Bovada,46.0,-3.0,Stanford -3.0,-2.5,48.0,-145.0,125.0,401309883,Stanford,0,1,31,0,3,0,62,0,2,7,0,0,0,2,0,37,0,2,4,29:50,2,1,3,4-25,2.6,27,71,6.1,21-32,194,265,0-0,4-12,17,1,-1
401309888,10,Stanford,Utah,54,11,0.0426325560079411,2.30215802442882,0.2777777777777778,1.7080151043250746,1.0,0.1538461538461538,2.746153846153846,71,0.8076923076923077,21,1.2692307692307692,33.0,0.1046181001502222,0.3125,1.506919885605357,-0.0475282354717405,0.2272727272727272,2.11020554176451,0.3084810283014069,8.02050673583658,0.2307692307692307,2.735570565949662,-0.2042267396931343,-5.71834871140776,0.3214285714285714,1.0229781299086833,67,10,0.5559037209240211,37.24554930190941,0.5970149253731343,1.4037243203345529,0.5,0.1111111111111111,4.544444444444444,205,2.4,108,4.266666666666667,192,0.4418942915804367,0.62,1.2134809275431926,0.8912255719345635,0.5294117647058824,2.0590071177270164,0.7332535002390368,32.996407510756654,0.6666666666666666,1.3495567578665109,0.1931428086887618,4.249141791152759,0.4545454545454545,1.5662270077386793,401309888,2021,Stanford,7,0.000500473,1502,1396,Utah,52,0.999499527,1729,1835,0.887819106,401309888,Stanford,7,Utah,52,Bovada,52.0,10.0,Utah -10.0,6.5,52.5,265.0,-330.0,401309888,Stanford,1,1,0,0,0,0,106,0,5,1,0,0,0,2,0,43,0,2,4,29:38,1,1,2,2-18,2.6,32,82,3.7,15-23,85,167,1-1,3-13,11,1,-1
401309894,11,Stanford,Oregon State,48,9,0.1087216420799771,5.218638819838903,0.3541666666666667,1.4278591957483504,1.0,0.1538461538461538,3.1115384615384616,81,1.1538461538461535,30,1.2692307692307692,33.0,0.0620364595908893,0.4,1.1888369760681767,0.1865302795617902,0.2777777777777778,2.001512522980767,0.1294588864322374,3.365931047238174,0.3846153846153846,1.1974703107237596,0.0842139896636694,1.8527077726007288,0.3181818181818182,1.7569861743549084,75,9,0.4624137713166445,34.68103284874834,0.48,1.3452986242486833,0.8333333333333334,0.12,3.492,175,0.92,46,0.44,22,0.4352817341577693,0.490566037735849,1.3443209673526593,0.5277773153812076,0.4545454545454545,1.3478405321783455,0.3168616486469299,15.843082432346495,0.44,1.1458263100378718,0.7535180166560738,18.83795041640185,0.56,1.6587551180085298,401309894,2021,Oregon State,35,0.998838213,1515,1552,Stanford,14,0.001161787,1396,1359,2.630458188,401309894,Oregon State,35,Stanford,14,Bovada,56.0,-13.0,Oregon State -13.0,-10.0,56.0,-480.0,350.0,401309894,Stanford,0,1,0,0,0,1,36,0,1,2,0,0,0,5,0,43,0,4,2,23:13,2,1,3,7-58,5.0,27,136,4.3,10-22,94,230,2-2,4-11,15,1,-1
