Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
401287889,2021,1,regular,2021-09-04T16:00:00.000Z,FALSE,TRUE,TRUE,FALSE,28668,3687,AT&T Stadium,2306,Kansas State,Big 12,fbs,24,7,7,0,10,0.988548003,1447,1497,24,Stanford,Pac-12,fbs,7,0,0,0,7,0.011451997,1491,1441,3.04085187,,
401309843,2021,2,regular,2021-09-12T02:30:00.000Z,FALSE,TRUE,FALSE,TRUE,56945,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,fbs,28,0,10,3,15,0.00971344,1672,1616,24,Stanford,Pac-12,fbs,42,7,14,14,7,0.99028656,1441,1497,3.501533379,,
401282080,2021,3,regular,2021-09-19T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21124,3973,FirstBank Stadium,238,Vanderbilt,SEC,fbs,23,7,7,3,6,0.083776142,1240,1222,24,Stanford,Pac-12,fbs,41,14,13,7,7,0.916223858,1497,1515,2.788472833,,
401309858,2021,4,regular,2021-09-25T22:00:00.000Z,FALSE,TRUE,FALSE,TRUE,47236,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,24,0,7,7,10,0.06167729,1515,1501,26,UCLA,Pac-12,fbs,35,14,7,0,14,0.93832271,1621,1635,4.661778354,,
401309864,2021,5,regular,2021-10-02T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,31610,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,31,10,7,0,7,0.371134472,1501,1525,2483,Oregon,Pac-12,fbs,24,0,7,10,7,0.628865528,1738,1714,8.186895565,,
401309868,2021,6,regular,2021-10-09T02:30:00.000Z,FALSE,TRUE,FALSE,TRUE,46192,3947,Mountain America Stadium,9,Arizona State,Pac-12,fbs,28,14,7,7,0,0.997286963,1729,1750,24,Stanford,Pac-12,fbs,10,7,0,3,0,0.002713037,1525,1504,2.721692536,,
401309873,2021,7,regular,2021-10-16T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,26171,3820,Gesa Field,265,Washington State,Pac-12,fbs,34,0,20,7,7,0.582267318,1472,1473,24,Stanford,Pac-12,fbs,31,13,3,0,15,0.417732682,1504,1503,8.972799539,,
401309883,2021,9,regular,2021-10-31T02:30:00.000Z,FALSE,TRUE,FALSE,TRUE,28014,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,13,3,0,0,10,0.051988091,1503,1502,264,Washington,Pac-12,fbs,20,0,9,3,8,0.948011909,1665,1666,6.140010982,,
401309888,2021,10,regular,2021-11-06T02:30:00.000Z,FALSE,TRUE,FALSE,TRUE,26410,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,7,0,0,7,0,0.000500473,1502,1396,254,Utah,Pac-12,fbs,52,14,24,0,14,0.999499527,1729,1835,0.887819106,,
401309894,2021,11,regular,2021-11-13T22:30:00.000Z,FALSE,TRUE,FALSE,TRUE,35129,3893,Reser Stadium,204,Oregon State,Pac-12,fbs,35,7,7,14,7,0.998838213,1515,1552,24,Stanford,Pac-12,fbs,14,0,0,7,7,0.001161787,1396,1359,2.630458188,,
401309900,2021,12,regular,2021-11-21T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,49265,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,11,0,3,0,8,0.000710489,1359,1291,25,California,Pac-12,fbs,41,0,14,13,14,0.999289511,1488,1556,2.9179196,,
401282711,2021,13,regular,2021-11-28T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,31571,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,14,0,0,7,7,0.001481286,1291,1283,87,Notre Dame,FBS Independents,fbs,45,7,17,7,14,0.998518714,1984,1992,0.951828166,,
