Game Id,School,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,totalFumbles
401282080,Stanford,0,3,82,0,4,2,71,0,2,11,6,0,1,3,0,43,1,4,7,28:38,0,0,0,8-53,7.6,27,204,7.5,19-29,218,422,1-2,2-9,20,0
401282711,Stanford,0,1,0,0,0,1,72,0,3,2,23,0,1,9,0,36,2,0,2,25:50,0,2,2,9-64,2.5,22,55,6.9,20-25,172,227,0-0,3-11,11,3
401287889,Stanford,0,0,0,0,0,1,21,0,1,1,0,0,1,6,0,31,3,1,0,32:53,2,0,2,9-65,1.8,22,39,6.5,23-30,194,233,1-1,4-12,14,1
401309843,Stanford,0,3,1,0,1,2,58,0,2,6,31,1,1,1,1,43,0,0,7,17:30,0,0,0,5-27,4.7,30,141,10.2,16-23,234,375,1-1,5-10,17,0
401309858,Stanford,0,0,15,0,1,3,66,0,2,6,0,0,0,5,0,36,4,4,3,22:25,0,0,0,4-25,3.0,22,67,9.2,19-32,293,360,1-1,5-14,11,0
401309864,Stanford,0,1,17,0,2,3,53,0,2,7,4,0,1,6,0,45,2,2,3,29:31,0,0,0,10-59,3.5,35,124,6.4,20-36,230,354,0-1,5-14,23,1
401309868,Stanford,1,0,15,0,1,1,0,0,0,4,0,0,0,6,0,41,2,0,1,28:06,3,0,3,4-40,0.7,20,13,7.9,27-45,356,369,1-3,5-14,20,1
401309873,Stanford,0,1,19,0,1,2,91,0,4,11,0,0,0,4,0,28,1,3,3,32:59,0,2,2,8-60,2.2,35,76,8.5,23-32,273,349,0-0,5-13,20,2
401309883,Stanford,0,1,31,0,3,0,62,0,2,7,0,0,0,2,0,37,0,2,4,29:50,2,1,3,4-25,2.6,27,71,6.1,21-32,194,265,0-0,4-12,17,1
401309888,Stanford,1,1,0,0,0,0,106,0,5,1,0,0,0,2,0,43,0,2,4,29:38,1,1,2,2-18,2.6,32,82,3.7,15-23,85,167,1-1,3-13,11,1
401309894,Stanford,0,1,0,0,0,1,36,0,1,2,0,0,0,5,0,43,0,4,2,23:13,2,1,3,7-58,5.0,27,136,4.3,10-22,94,230,2-2,4-11,15,1
401309900,Stanford,1,1,0,0,0,0,128,0,8,3,20,0,1,3,0,38,0,0,2,28:17,2,0,2,6-40,1.7,26,43,5.6,26-43,239,282,1-3,4-12,21,0
