"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401403970","2022","1","regular","2022-09-04T00:00:00.000Z","false","true","false","false","26826","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","41","7","21","0","13","0.9988244519251847","1355","1355","2142","Colgate","Patriot","fcs","10","0","7","3","0","0.0011755480748153468","","","1.1579876438","",""
"401403980","2022","2","regular","2022-09-10T23:30:00.000Z","false","true","false","true","43813","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","28","7","7","0","14","0.030541792882932704","1355","1349","30","USC","Pac-12","fbs","41","21","14","6","0","0.9694582071170673","1612","1618","2.8489641974","",""
"401404001","2022","4","regular","2022-09-25T02:30:00.000Z","false","true","false","true","65438","3765","Husky Stadium","264","Washington","Pac-12","fbs","40","7","10","13","10","0.8892412304479442","1607","1623","24","Stanford","Pac-12","fbs","22","0","7","0","15","0.11075876955205577","1349","1333","2.6335401602","",""
"401404005","2022","5","regular","2022-10-02T03:00:00.000Z","false","true","false","true","52218","3626","Autzen Stadium","2483","Oregon","Pac-12","fbs","45","10","21","7","7","0.9701803071540805","1567","1585","24","Stanford","Pac-12","fbs","27","0","3","14","10","0.029819692845919454","1333","1315","2.1428719446","",""
"401404010","2022","6","regular","2022-10-09T03:00:00.000Z","false","true","false","true","32482","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","27","7","10","7","3","0.12703671517450948","1315","1325","204","Oregon State","Pac-12","fbs","28","0","7","3","18","0.8729632848254905","1559","1549","7.0607593506","",""
"401404016","2022","7","regular","2022-10-15T23:30:00.000Z","false","true","false","false","77622","3855","Notre Dame Stadium","87","Notre Dame","FBS Independents","fbs","14","0","0","7","7","0.24066061723331433","1797","1765","24","Stanford","Pac-12","fbs","16","7","3","3","3","0.7593393827666857","1325","1357","8.1370550694","",""
"401404018","2022","8","regular","2022-10-22T20:00:00.000Z","false","true","false","true","25061","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","15","6","0","3","6","0.013787050682802712","1357","1362","9","Arizona State","Pac-12","fbs","14","7","7","0","0","0.9862129493171973","1521","1516","9.9413894119","",""
"401404025","2022","9","regular","2022-10-30T02:30:00.000Z","false","true","false","true","43850","1056","Rose Bowl","26","UCLA","Pac-12","fbs","38","14","10","7","7","0.998047466210638","1700","1727","24","Stanford","Pac-12","fbs","13","3","3","0","7","0.0019525337893619987","1362","1335","2.1175140017","",""
"401404032","2022","10","regular","2022-11-05T19:30:00.000Z","false","true","false","true","26515","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","14","7","0","7","0","0.10106587360561342","1335","1260","265","Washington State","Pac-12","fbs","52","21","21","3","7","0.8989341263943866","1615","1690","2.2004322478","",""
"401404038","2022","11","regular","2022-11-13T03:00:00.000Z","false","true","false","true","51951","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","42","0","14","21","7","0.9988114520932615","1854","1881","24","Stanford","Pac-12","fbs","7","7","0","0","0","0.0011885479067385019","1260","1233","2.5849822497","",""
"401404041","2022","12","regular","2022-11-19T22:30:00.000Z","false","true","false","true","51892","3831","California Memorial Stadium","25","California","Pac-12","fbs","27","6","0","0","21","0.23813517393322148","1397","1398","24","Stanford","Pac-12","fbs","20","10","0","7","3","0.7618648260667785","1233","1232","9.4124446883","",""
"401404049","2022","13","regular","2022-11-27T04:00:00.000Z","false","true","false","false","25094","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","26","3","9","0","14","0.0015596094483265655","1232","1237","252","BYU","FBS Independents","fbs","35","14","14","0","7","0.9984403905516734","1529","1524","2.1236681140","",""
