GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline,Game Id,School,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,interceptionYards,interceptionTDs,passesIntercepted,Outcome
401523988.00,1.00,Stanford,Hawai'i,67.00,11.00,0.23,15.54,0.46,1.24,0.56,0.24,2.65,88.00,0.97,32.00,1.33,44.00,0.14,0.47,1.06,0.54,0.44,1.88,0.05,1.54,0.42,0.94,0.41,14.00,0.50,1.49,67.00,11.00,0.20,13.43,0.36,1.70,0.00,0.20,1.94,19.00,0.50,5.00,1.10,11.00,-0.11,0.36,1.21,0.63,0.36,2.38,-0.09,-0.91,0.20,1.33,0.25,14.34,0.39,1.73,401523988.00,2023.00,Hawai'i,24.00,0.01,1241.00,1220.00,Stanford,37.00,0.99,1324.00,1345.00,4.25,401523988.00,Hawai'i,24.00,Stanford,37.00,Bovada,54.50,2.50,Stanford -2.5,8.00,58.50,235.00,-285.00,401523988.00,Stanford,2.00,14.00,0.00,1.00,2.00,0.00,0.00,0.00,13.00,0.00,0.00,8.00,0.00,37.00,6.00,1.00,3.00,1.41,0.00,0.00,0.00,29830.00,4.60,34.00,158.00,6.90,25-36,248.00,406.00,0-0,45457.00,24.00,0.00,0.00,0.00,1.00
401524003.00,2.00,Stanford,USC,66.00,14.00,-0.12,-8.06,0.39,1.16,0.33,0.23,1.88,74.00,1.13,44.00,2.23,87.00,-0.11,0.44,1.04,-0.15,0.28,1.65,0.03,1.26,0.44,1.12,-0.10,-2.66,0.35,1.23,66.00,13.00,0.52,34.22,0.59,1.19,0.75,0.10,3.89,113.00,1.72,50.00,1.76,51.00,0.51,0.62,1.18,0.56,0.50,1.26,0.34,9.99,0.55,1.01,0.65,24.23,0.62,1.32,401524003.00,2023.00,USC,56.00,1.00,1817.00,1891.00,Stanford,10.00,0.00,1345.00,1271.00,2.27,401524003.00,USC,56.00,Stanford,10.00,Bovada,70.00,-28.50,USC -28.5,-30.00,71.00,-10000.00,1600.00,401524003.00,Stanford,1.00,0.00,0.00,0.00,0.00,57.00,0.00,3.00,4.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,1.00,2.00,3.00,14732.00,5.10,41.00,209.00,5.60,45590.00,140.00,349.00,0-1,45395.00,20.00,0.00,0.00,0.00,-1.00
401524016.00,4.00,Stanford,Arizona,66.00,10.00,0.15,10.12,0.41,1.35,1.00,0.24,2.54,74.00,0.97,28.00,1.38,40.00,-0.09,0.47,0.78,0.45,0.33,2.33,0.18,5.10,0.48,0.92,0.14,5.02,0.35,1.81,67.00,11.00,0.18,11.91,0.54,0.96,0.67,0.23,3.36,118.00,0.94,33.00,0.40,14.00,0.12,0.58,0.83,0.37,0.40,1.60,0.28,9.68,0.63,0.80,0.07,2.23,0.44,1.21,401524016.00,2023.00,Stanford,20.00,0.19,1271.00,1278.00,Arizona,21.00,0.81,1453.00,1446.00,7.40,401524016.00,Stanford,20.00,Arizona,21.00,Bovada,59.50,13.00,Arizona -13.0,10.00,59.00,290.00,-380.00,401524016.00,Stanford,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,3.00,0.00,30.00,2.00,5.00,1.00,1.30,0.00,0.00,0.00,16589.00,3.20,35.00,112.00,7.70,18-32,246.00,358.00,45292.00,45489.00,19.00,0.00,0.00,0.00,-1.00
401524024.00,5.00,Stanford,Oregon,70.00,9.00,-0.10,-7.31,0.36,1.07,0.50,0.20,2.27,93.00,0.73,30.00,0.15,6.00,-0.15,0.43,0.88,-0.02,0.21,1.84,-0.10,-4.16,0.37,0.98,-0.11,-3.16,0.34,1.21,61.00,10.00,0.58,35.52,0.62,1.26,1.00,0.14,4.08,114.00,1.89,53.00,2.25,63.00,0.52,0.66,1.12,0.79,0.50,1.86,0.49,13.76,0.61,1.15,0.66,21.76,0.64,1.34,401524024.00,2023.00,Stanford,6.00,0.00,1278.00,1237.00,Oregon,42.00,1.00,1782.00,1823.00,3.29,401524024.00,Stanford,6.00,Oregon,42.00,Bovada,61.00,27.00,Oregon -27.0,27.00,61.00,1200.00,-4000.00,401524024.00,Stanford,0.00,0.00,0.00,0.00,0.00,23.00,0.00,1.00,6.00,0.00,1.00,2.00,0.00,28.00,0.00,0.00,1.00,1.48,0.00,0.00,0.00,45407.00,1.90,46.00,89.00,5.50,14-24,133.00,222.00,45357.00,45461.00,16.00,0.00,0.00,0.00,-1.00
401524029.00,7.00,Stanford,Colorado,86.00,14.00,0.26,22.00,0.48,1.22,1.00,0.17,3.19,115.00,0.97,35.00,0.22,8.00,0.12,0.52,0.93,0.61,0.38,2.25,0.20,7.18,0.56,0.73,0.30,14.82,0.42,1.68,82.00,13.00,0.33,27.22,0.52,1.16,0.83,0.06,3.88,120.00,1.06,33.00,1.23,38.00,0.16,0.57,0.88,0.91,0.37,2.61,0.15,4.52,0.58,0.50,0.45,22.70,0.49,1.63,401524029.00,2023.00,Colorado,43.00,0.65,1293.00,1285.00,Stanford,46.00,0.35,1237.00,1245.00,7.70,401524029.00,Colorado,43.00,Stanford,46.00,Bovada,59.00,-13.00,Colorado -13.0,-11.50,59.00,-460.00,340.00,401524029.00,Stanford,2.00,0.00,0.00,0.00,4.00,22.00,0.00,2.00,10.00,0.00,2.00,5.00,0.00,52.00,4.00,5.00,2.00,1.45,0.00,0.00,0.00,27211.00,3.20,39.00,124.00,8.10,28-49,399.00,523.00,0-1,45583.00,29.00,0.00,0.00,1.00,1.00
401524036.00,8.00,Stanford,UCLA,62.00,13.00,0.02,1.45,0.32,1.31,0.00,0.36,2.05,29.00,1.43,20.00,1.50,21.00,-0.24,0.32,0.87,0.41,0.32,1.96,-0.24,-3.30,0.36,0.76,0.10,4.75,0.31,1.49,88.00,14.00,0.28,24.53,0.50,1.19,0.25,0.26,3.08,154.00,1.14,57.00,0.82,41.00,0.11,0.52,0.81,0.64,0.46,2.08,0.15,7.51,0.50,0.86,0.45,17.02,0.50,1.61,401524036.00,2023.00,Stanford,7.00,0.00,1245.00,1198.00,UCLA,42.00,1.00,1671.00,1718.00,2.33,401524036.00,Stanford,7.00,UCLA,42.00,Bovada,51.50,17.00,UCLA -17.0,16.50,54.00,550.00,-850.00,401524036.00,Stanford,0.00,1.00,0.00,1.00,1.00,122.00,0.00,8.00,1.00,0.00,1.00,11.00,0.00,40.00,4.00,4.00,0.00,0.96,1.00,1.00,2.00,10-113,1.40,17.00,24.00,6.00,27-45,268.00,292.00,0-4,45302.00,15.00,0.00,0.00,0.00,-1.00
401524042.00,9.00,Stanford,Washington,80.00,14.00,0.30,23.72,0.49,1.15,0.71,0.07,3.56,107.00,1.03,31.00,0.50,15.00,0.32,0.52,1.11,0.22,0.37,1.32,0.38,11.53,0.57,1.00,0.24,12.19,0.44,1.26,63.00,14.00,0.22,14.05,0.48,1.26,1.00,0.15,3.20,83.00,1.00,26.00,0.23,6.00,0.14,0.57,0.92,0.40,0.29,2.60,-0.14,-3.67,0.46,0.39,0.62,22.14,0.50,1.83,401524042.00,2023.00,Stanford,33.00,0.28,1198.00,1230.00,Washington,42.00,0.72,1884.00,1852.00,6.92,401524042.00,Stanford,33.00,Washington,42.00,Bovada,62.00,28.00,Washington -28.0,26.50,59.50,1300.00,-5000.00,401524042.00,Stanford,3.00,0.00,0.00,0.00,1.00,31.00,0.00,2.00,9.00,1.00,1.00,2.00,0.00,29.00,1.00,4.00,2.00,1.44,0.00,0.00,0.00,27242.00,3.70,35.00,128.00,7.20,31-51,367.00,495.00,45294.00,45428.00,26.00,0.00,0.00,1.00,-1.00
401524050.00,10.00,Stanford,Washington State,70.00,11.00,-0.06,-4.37,0.30,1.06,0.71,0.28,2.13,77.00,0.53,19.00,0.08,3.00,-0.15,0.36,0.84,0.09,0.19,1.76,-0.16,-5.78,0.33,0.81,0.03,1.08,0.27,1.39,64.00,11.00,-0.01,-0.39,0.38,1.10,0.80,0.30,1.12,22.00,0.20,4.00,,,-0.07,0.48,0.74,0.10,0.21,2.46,-0.26,-5.22,0.40,0.58,0.16,6.68,0.37,1.35,401524050.00,2023.00,Washington State,7.00,0.39,1454.00,1435.00,Stanford,10.00,0.61,1230.00,1249.00,7.11,401524050.00,Washington State,7.00,Stanford,10.00,Bovada,58.00,-14.00,Washington State -14.0,-13.50,61.00,-575.00,400.00,401524050.00,Stanford,1.00,8.00,0.00,1.00,0.00,9.00,0.00,1.00,4.00,0.00,0.00,6.00,0.00,27.00,3.00,8.00,2.00,1.43,1.00,0.00,1.00,11810.00,2.00,38.00,75.00,4.40,16-32,142.00,217.00,45325.00,45461.00,18.00,10.00,0.00,1.00,1.00
401524054.00,11.00,Stanford,Oregon State,63.00,13.00,0.03,2.12,0.29,1.96,0.00,0.31,2.33,61.00,1.12,29.00,1.50,39.00,-0.18,0.25,1.71,0.25,0.32,2.16,-0.03,-0.72,0.27,1.60,0.26,8.71,0.33,2.18,66.00,13.00,0.62,40.68,0.56,1.61,0.75,0.16,3.65,135.00,1.59,59.00,2.76,102.00,0.37,0.59,1.19,1.10,0.50,2.58,0.52,19.37,0.59,1.35,0.73,21.31,0.52,1.98,401524054.00,2023.00,Oregon State,62.00,1.00,1765.00,1830.00,Stanford,17.00,0.00,1249.00,1184.00,2.98,401524054.00,Oregon State,62.00,Stanford,17.00,Bovada,52.50,-21.50,Oregon State -21.5,-20.50,54.50,-1800.00,850.00,401524054.00,Stanford,1.00,9.00,0.00,1.00,1.00,0.00,0.00,1.00,5.00,0.00,2.00,4.00,0.00,27.00,1.00,3.00,0.00,1.22,4.00,0.00,4.00,16528.00,2.60,32.00,82.00,7.60,14-32,242.00,324.00,0-1,45364.00,18.00,0.00,0.00,0.00,-1.00
401524061.00,12.00,Stanford,California,57.00,12.00,0.04,2.31,0.30,1.51,1.00,0.24,3.17,67.00,1.33,28.00,0.52,11.00,0.02,0.34,1.34,0.09,0.21,2.06,0.06,1.19,0.38,0.89,0.03,1.12,0.25,2.07,83.00,12.00,0.22,18.30,0.45,1.34,0.67,0.20,2.75,121.00,0.95,42.00,0.57,25.00,0.08,0.48,1.14,0.55,0.36,1.95,0.03,1.30,0.45,0.92,0.44,16.99,0.44,1.83,401524061.00,2023.00,Stanford,15.00,0.00,1184.00,1179.00,California,27.00,1.00,1426.00,1431.00,4.76,401524061.00,Stanford,15.00,California,27.00,Bovada,53.50,7.00,California -7.0,4.50,57.50,210.00,-250.00,401524061.00,Stanford,0.00,16.00,0.00,2.00,1.00,0.00,0.00,0.00,9.00,0.00,2.00,6.00,0.00,37.00,2.00,3.00,5.00,1.02,0.00,0.00,0.00,9-100,4.20,24.00,101.00,5.40,18-35,188.00,289.00,45293.00,45428.00,12.00,25.00,0.00,1.00,-1.00
