GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Id.1,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline,Game Id,School,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,totalFumbles,Outcome,Year
401287889.00,1.00,Stanford,Kansas State,52.00,9.00,0.08,3.99,0.33,1.48,0.67,0.22,2.76,50.00,0.61,11.00,0.33,6.00,0.14,0.41,1.30,-0.04,0.17,2.32,-0.16,-2.88,0.22,0.76,0.20,6.87,0.38,1.70,45.00,10.00,0.28,12.54,0.40,1.60,1.00,0.14,3.75,105.00,1.68,47.00,2.93,82.00,0.09,0.52,1.20,0.63,0.19,3.61,0.54,15.00,0.39,1.75,-0.14,-2.46,0.41,1.38,401287889.00,2021.00,Kansas State,24.00,0.99,1447.00,1497.00,Stanford,7.00,0.01,1491.00,1441.00,3.04,401287889.00,Kansas State,24.00,Stanford,7.00,Bovada,54.00,-3.50,Kansas State -3.5,0.00,52.50,-160.00,140.00,401287889.00,Stanford,0.00,0.00,0.00,0.00,0.00,1.00,21.00,0.00,1.00,1.00,0.00,0.00,1.00,6.00,0.00,31.00,3.00,1.00,0.00,1.37,2.00,0.00,2.00,23986.00,1.80,22.00,39.00,6.50,23-30,194.00,233.00,45292.00,45394.00,14.00,1.00,-1.00,2021.00
401309843.00,2.00,Stanford,USC,52.00,10.00,0.32,16.41,0.44,1.64,1.00,0.27,1.43,43.00,0.60,18.00,2.73,82.00,0.30,0.49,1.43,0.34,0.35,2.24,-0.07,-1.98,0.33,1.32,0.84,18.39,0.59,1.89,75.00,11.00,0.18,13.29,0.57,0.77,0.75,0.12,3.90,129.00,1.30,43.00,0.79,26.00,0.30,0.64,0.73,-0.35,0.29,1.25,0.35,11.63,0.70,0.71,0.04,1.66,0.48,0.84,401309843.00,2021.00,USC,28.00,0.01,1672.00,1616.00,Stanford,42.00,0.99,1441.00,1497.00,3.50,401309843.00,USC,28.00,Stanford,42.00,Bovada,53.50,-17.00,USC -17.0,-17.50,51.00,-1000.00,600.00,401309843.00,Stanford,0.00,3.00,1.00,0.00,1.00,2.00,58.00,0.00,2.00,6.00,31.00,1.00,1.00,1.00,1.00,43.00,0.00,0.00,7.00,0.73,0.00,0.00,0.00,45439.00,4.70,30.00,141.00,10.20,16-23,234.00,375.00,45292.00,45422.00,17.00,0.00,1.00,2021.00
401282080.00,3.00,Stanford,Vanderbilt,55.00,11.00,0.38,21.08,0.45,1.53,0.33,0.16,3.70,93.00,1.40,35.00,4.12,103.00,0.34,0.52,1.36,0.51,0.23,2.77,0.45,11.15,0.40,1.92,0.33,9.92,0.50,1.27,83.00,12.00,0.17,14.44,0.40,1.16,0.63,0.14,3.34,144.00,1.16,50.00,1.81,78.00,0.04,0.44,0.80,0.44,0.32,2.12,0.30,12.76,0.49,1.02,0.04,1.68,0.30,1.41,401282080.00,2021.00,Vanderbilt,23.00,0.08,1240.00,1222.00,Stanford,41.00,0.92,1497.00,1515.00,2.79,401282080.00,Vanderbilt,23.00,Stanford,41.00,Bovada,48.50,13.00,Stanford -13.0,11.00,48.50,345.00,-470.00,401282080.00,Stanford,0.00,3.00,82.00,0.00,4.00,2.00,71.00,0.00,2.00,11.00,6.00,0.00,1.00,3.00,0.00,43.00,1.00,4.00,7.00,1.19,0.00,0.00,0.00,19572.00,7.60,27.00,204.00,7.50,19-29,218.00,422.00,45293.00,45331.00,20.00,0.00,1.00,2021.00
401309858.00,4.00,Stanford,UCLA,55.00,18.00,0.44,24.21,0.36,1.87,1.00,0.11,4.08,78.00,1.26,24.00,3.47,66.00,0.26,0.43,1.39,0.65,0.28,2.75,0.48,9.19,0.53,1.14,0.42,15.02,0.28,2.59,78.00,28.00,0.39,30.09,0.53,1.09,0.83,0.13,4.15,195.00,1.49,70.00,2.21,104.00,0.36,0.61,0.91,0.45,0.32,1.99,0.48,22.70,0.60,0.96,0.24,7.39,0.42,1.39,401309858.00,2021.00,Stanford,24.00,0.06,1515.00,1501.00,UCLA,35.00,0.94,1621.00,1635.00,4.66,401309858.00,Stanford,24.00,UCLA,35.00,Bovada,60.00,4.00,UCLA -4.0,3.50,59.00,160.00,-185.00,401309858.00,Stanford,0.00,0.00,15.00,0.00,1.00,3.00,66.00,0.00,2.00,6.00,0.00,0.00,0.00,5.00,0.00,36.00,4.00,4.00,3.00,0.93,0.00,0.00,0.00,45407.00,3.00,22.00,67.00,9.20,19-32,293.00,360.00,45292.00,45426.00,11.00,0.00,-1.00,2021.00
401309864.00,5.00,Stanford,Oregon,71.00,13.00,0.15,10.69,0.39,1.10,0.43,0.24,2.85,94.00,0.82,27.00,0.52,17.00,-0.01,0.40,0.90,0.46,0.38,1.52,-0.02,-0.73,0.36,0.80,0.30,11.42,0.42,1.33,79.00,12.00,0.09,6.74,0.48,0.86,0.60,0.10,3.31,169.00,0.76,39.00,0.43,22.00,0.05,0.55,0.69,0.23,0.24,2.28,0.16,7.94,0.57,0.74,-0.04,-1.20,0.32,1.24,401309864.00,2021.00,Stanford,31.00,0.37,1501.00,1525.00,Oregon,24.00,0.63,1738.00,1714.00,8.19,401309864.00,Stanford,31.00,Oregon,24.00,Bovada,57.50,8.50,Oregon -8.5,7.00,58.50,255.00,-310.00,401309864.00,Stanford,0.00,1.00,17.00,0.00,2.00,3.00,53.00,0.00,2.00,7.00,4.00,0.00,1.00,6.00,0.00,45.00,2.00,2.00,3.00,1.23,0.00,0.00,0.00,21824.00,3.50,35.00,124.00,6.40,20-36,230.00,354.00,0-1,45426.00,23.00,1.00,1.00,2021.00
401309868.00,6.00,Stanford,Arizona State,65.00,11.00,-0.07,-4.74,0.35,1.52,0.00,0.27,2.09,31.00,0.33,5.00,0.53,8.00,-0.23,0.39,1.29,0.20,0.29,2.03,-0.29,-4.31,0.07,1.54,-0.01,-0.42,0.44,1.51,67.00,11.00,0.21,14.15,0.49,1.23,0.71,0.24,2.80,118.00,1.50,63.00,2.36,99.00,0.14,0.57,1.10,0.40,0.28,1.93,0.17,7.18,0.57,1.04,0.28,6.97,0.36,1.72,401309868.00,2021.00,Arizona State,28.00,1.00,1729.00,1750.00,Stanford,10.00,0.00,1525.00,1504.00,2.72,401309868.00,Arizona State,28.00,Stanford,10.00,Bovada,53.50,-13.50,Arizona State -13.5,-10.50,52.00,-520.00,375.00,401309868.00,Stanford,1.00,0.00,15.00,0.00,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,6.00,0.00,41.00,2.00,0.00,1.00,1.17,3.00,0.00,3.00,14702.00,0.70,20.00,13.00,7.90,27-45,356.00,369.00,45294.00,45426.00,20.00,1.00,-1.00,2021.00
401309873.00,7.00,Stanford,Washington State,67.00,12.00,0.17,11.35,0.45,1.09,0.63,0.26,2.28,71.00,0.61,19.00,0.26,8.00,0.01,0.50,0.71,0.52,0.33,2.34,-0.06,-1.73,0.39,0.82,0.36,13.08,0.50,1.27,57.00,13.00,0.29,16.61,0.42,1.52,0.75,0.19,2.86,74.00,1.12,29.00,0.85,22.00,0.19,0.50,1.32,0.53,0.24,2.56,0.23,6.04,0.50,0.99,0.34,10.57,0.35,2.15,401309873.00,2021.00,Washington State,34.00,0.58,1472.00,1473.00,Stanford,31.00,0.42,1504.00,1503.00,8.97,401309873.00,Washington State,34.00,Stanford,31.00,Bovada,53.00,-1.00,Washington State -1.0,2.50,50.50,-115.00,-105.00,401309873.00,Stanford,0.00,1.00,19.00,0.00,1.00,2.00,91.00,0.00,4.00,11.00,0.00,0.00,0.00,4.00,0.00,28.00,1.00,3.00,3.00,1.37,0.00,2.00,2.00,22129.00,2.20,35.00,76.00,8.50,23-32,273.00,349.00,0-0,45425.00,20.00,2.00,-1.00,2021.00
401309883.00,9.00,Stanford,Washington,60.00,10.00,-0.02,-1.43,0.45,0.92,0.75,0.19,2.13,55.00,0.46,12.00,,,0.03,0.49,0.82,-0.25,0.27,1.71,-0.05,-1.19,0.50,0.61,0.19,5.95,0.44,1.20,67.00,11.00,0.15,10.14,0.48,0.80,0.57,0.07,3.98,171.00,1.30,56.00,0.77,33.00,0.13,0.50,0.74,0.22,0.38,1.10,0.14,6.20,0.49,0.73,0.16,3.95,0.46,0.94,401309883.00,2021.00,Stanford,13.00,0.05,1503.00,1502.00,Washington,20.00,0.95,1665.00,1666.00,6.14,401309883.00,Stanford,13.00,Washington,20.00,Bovada,46.00,-3.00,Stanford -3.0,-2.50,48.00,-145.00,125.00,401309883.00,Stanford,0.00,1.00,31.00,0.00,3.00,0.00,62.00,0.00,2.00,7.00,0.00,0.00,0.00,2.00,0.00,37.00,0.00,2.00,4.00,1.24,2.00,1.00,3.00,45407.00,2.60,27.00,71.00,6.10,21-32,194.00,265.00,0-0,45394.00,17.00,1.00,-1.00,2021.00
401309888.00,10.00,Stanford,Utah,54.00,11.00,0.04,2.30,0.28,1.71,1.00,0.15,2.75,71.00,0.81,21.00,1.27,33.00,0.10,0.31,1.51,-0.05,0.23,2.11,0.31,8.02,0.23,2.74,-0.20,-5.72,0.32,1.02,67.00,10.00,0.56,37.25,0.60,1.40,0.50,0.11,4.54,205.00,2.40,108.00,4.27,192.00,0.44,0.62,1.21,0.89,0.53,2.06,0.73,33.00,0.67,1.35,0.19,4.25,0.45,1.57,401309888.00,2021.00,Stanford,7.00,0.00,1502.00,1396.00,Utah,52.00,1.00,1729.00,1835.00,0.89,401309888.00,Stanford,7.00,Utah,52.00,Bovada,52.00,10.00,Utah -10.0,6.50,52.50,265.00,-330.00,401309888.00,Stanford,1.00,1.00,0.00,0.00,0.00,0.00,106.00,0.00,5.00,1.00,0.00,0.00,0.00,2.00,0.00,43.00,0.00,2.00,4.00,1.23,1.00,1.00,2.00,45340.00,2.60,32.00,82.00,3.70,15-23,85.00,167.00,45292.00,45364.00,11.00,1.00,-1.00,2021.00
401309894.00,11.00,Stanford,Oregon State,48.00,9.00,0.11,5.22,0.35,1.43,1.00,0.15,3.11,81.00,1.15,30.00,1.27,33.00,0.06,0.40,1.19,0.19,0.28,2.00,0.13,3.37,0.38,1.20,0.08,1.85,0.32,1.76,75.00,9.00,0.46,34.68,0.48,1.35,0.83,0.12,3.49,175.00,0.92,46.00,0.44,22.00,0.44,0.49,1.34,0.53,0.45,1.35,0.32,15.84,0.44,1.15,0.75,18.84,0.56,1.66,401309894.00,2021.00,Oregon State,35.00,1.00,1515.00,1552.00,Stanford,14.00,0.00,1396.00,1359.00,2.63,401309894.00,Oregon State,35.00,Stanford,14.00,Bovada,56.00,-13.00,Oregon State -13.0,-10.00,56.00,-480.00,350.00,401309894.00,Stanford,0.00,1.00,0.00,0.00,0.00,1.00,36.00,0.00,1.00,2.00,0.00,0.00,0.00,5.00,0.00,43.00,0.00,4.00,2.00,0.97,2.00,1.00,3.00,21367.00,5.00,27.00,136.00,4.30,45587.00,94.00,230.00,45324.00,45393.00,15.00,1.00,-1.00,2021.00
