Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline
401523988,Hawai'i,24,Stanford,37,Bovada,54.5,2.5,Stanford -2.5,8.0,58.5,235.0,-285.0
401524003,USC,56,Stanford,10,Bovada,70.0,-28.5,USC -28.5,-30.0,71.0,-10000.0,1600.0
401524016,Stanford,20,Arizona,21,Bovada,59.5,13.0,Arizona -13.0,10.0,59.0,290.0,-380.0
401524024,Stanford,6,Oregon,42,Bovada,61.0,27.0,Oregon -27.0,27.0,61.0,1200.0,-4000.0
401524029,Colorado,43,Stanford,46,Bovada,59.0,-13.0,Colorado -13.0,-11.5,59.0,-460.0,340.0
401524036,Stanford,7,UCLA,42,Bovada,51.5,17.0,UCLA -17.0,16.5,54.0,550.0,-850.0
401524042,Stanford,33,Washington,42,Bovada,62.0,28.0,Washington -28.0,26.5,59.5,1300.0,-5000.0
401524050,Washington State,7,Stanford,10,Bovada,58.0,-14.0,Washington State -14.0,-13.5,61.0,-575.0,400.0
401524054,Oregon State,62,Stanford,17,Bovada,52.5,-21.5,Oregon State -21.5,-20.5,54.5,-1800.0,850.0
401524061,Stanford,15,California,27,Bovada,53.5,7.0,California -7.0,4.5,57.5,210.0,-250.0
401524065,Stanford,23,Notre Dame,56,Bovada,50.5,26.0,Notre Dame -26.0,24.5,52.0,1100.0,-3300.0
