"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401524029","Colorado","43","Stanford","46","William Hill (New Jersey)","58.5","-13.5","Colorado -13.5","","","",""
"401524029","Colorado","43","Stanford","46","Bovada","59.0","-13.0","Colorado -13.0","-11.5","59.0","-460","340"
"401524029","Colorado","43","Stanford","46","DraftKings","59","-11.5","Colorado -11.5","-15","","-520","340"
"401524061","Stanford","15","California","27","ESPN Bet","52.5","6.5","California -6.5","","","",""
"401524061","Stanford","15","California","27","Bovada","53.5","7.0","California -7.0","4.5","57.5","210","-250"
"401524061","Stanford","15","California","27","DraftKings","58","4.5","California -4.5","4.5","58","225","-278"
"401524024","Stanford","6","Oregon","42","William Hill (New Jersey)","59.5","27","Oregon -27","","","",""
"401524024","Stanford","6","Oregon","42","DraftKings","61","27","Oregon -27","27","61","1700","-4500"
"401524024","Stanford","6","Oregon","42","Bovada","61.0","27.0","Oregon -27.0","27.0","61.0","1200","-4000"
"401524016","Stanford","20","Arizona","21","William Hill (New Jersey)","60","13","Arizona -13","","","",""
"401524016","Stanford","20","Arizona","21","DraftKings","60","12.5","Arizona -12.5","11.5","59.5","350","-470"
"401524016","Stanford","20","Arizona","21","Bovada","59.5","13.0","Arizona -13.0","10.0","59.0","290","-380"
"401524010","Stanford","23","Sacramento State","30","William Hill (New Jersey)","60.5","-7","Stanford -7","","","",""
"401524042","Stanford","33","Washington","42","William Hill (New Jersey)","62","27.5","Washington -27.5","","","",""
"401524042","Stanford","33","Washington","42","Bovada","62.0","28.0","Washington -28.0","26.5","59.5","1300","-5000"
"401524042","Stanford","33","Washington","42","DraftKings","60.5","26.5","Washington -26.5","26.5","59.5","1700","-4500"
"401524050","Washington State","7","Stanford","10","ESPN Bet","57.5","-13.5","Washington State -13.5","","","",""
"401524050","Washington State","7","Stanford","10","DraftKings","59.5","-13","Washington State -13","-13","","-600","440"
"401524050","Washington State","7","Stanford","10","Bovada","58.0","-14.0","Washington State -14.0","-13.5","61.0","-575","400"
"401524065","Stanford","23","Notre Dame","56","ESPN Bet","49.5","26.5","Notre Dame -26.5","","","",""
"401524065","Stanford","23","Notre Dame","56","DraftKings","","24.5","Notre Dame -24.5","24.5","","1700","-4500"
"401524065","Stanford","23","Notre Dame","56","Bovada","50.5","26.0","Notre Dame -26.0","24.5","52.0","1100","-3300"
"401523988","Hawai'i","24","Stanford","37","Caesars Sportsbook (Colorado)","54","2","Stanford -2","","","",""
"401523988","Hawai'i","24","Stanford","37","teamrankings","58.5","7","Stanford -7","","","",""
"401523988","Hawai'i","24","Stanford","37","DraftKings","55.5","3","Stanford -3","8.5","58.5","110","-155"
"401523988","Hawai'i","24","Stanford","37","Bovada","54.5","2.5","Stanford -2.5","8.0","58.5","235","-285"
"401524054","Oregon State","62","Stanford","17","ESPN Bet","51.5","-21.5","Oregon State -21.5","","","",""
"401524054","Oregon State","62","Stanford","17","DraftKings","54","-20","Oregon State -20","-20","54","-1450","850"
"401524054","Oregon State","62","Stanford","17","Bovada","52.5","-21.5","Oregon State -21.5","-20.5","54.5","-1800","850"
"401524003","USC","56","Stanford","10","William Hill (New Jersey)","70.5","-28.5","USC -28.5","","","",""
"401524003","USC","56","Stanford","10","DraftKings","69.5","-29","USC -29","-29.5","70","-5000","1800"
"401524003","USC","56","Stanford","10","Bovada","70.0","-28.5","USC -28.5","-30.0","71.0","-10000","1600"
"401524036","Stanford","7","UCLA","42","William Hill (New Jersey)","52","17","UCLA -17","","","",""
"401524036","Stanford","7","UCLA","42","Bovada","51.5","17.0","UCLA -17.0","16.5","54.0","550","-850"
"401524036","Stanford","7","UCLA","42","DraftKings","52","17","UCLA -17","16.5","55.5","600","-900"
