week,home_team,away_team,home_odds,away_odds,home_spread,away_spread
2,UAB Blazers,UConn Huskies,-400,275,-7.5,7.5
2,Southern Mississippi Golden Eagles,Marshall Thundering Herd,650,-1200,17.5,-17.5
2,Virginia Tech Hokies,Clemson Tigers,165,-210,4.5,-4.5
2,NC State Wolfpack,Duke Blue Devils,-130,100,-1.5,1.5
2,North Texas Mean Green,Army Black Knights,170,-225,4.5,-4.5
2,James Madison Dukes,Georgia State Panthers,-1600,750,-18.5,18.5
2,Indiana Hoosiers,Michigan Wolverines,-525,340,-11.5,11.5
2,Oregon State Beavers,San Jose State Spartans,-190,145,-4.5,4.5
2,Kansas Jayhawks,Iowa State Cyclones,125,-165,3.0,-3.0
2,Ole Miss Rebels,Georgia Bulldogs,120,-140,2.0,-2.0
2,Texas Tech Red Raiders,Colorado Buffaloes,165,-195,5.0,-5.0
2,UTEP Miners,Kennesaw State Owls,-200,170,-4.5,4.5
2,Tulane Green Wave,Temple Owls,-6500,1300,-26.5,26.5
2,Vanderbilt Commodores,South Carolina Gamecocks,180,-220,6.0,-6.0
2,Louisiana Tech Bulldogs,Jacksonville State Gamecocks,290,-380,9.5,-9.5
2,Louisiana Ragin Cajuns,Arkansas State Red Wolves,-625,430,-13.5,13.5
2,New Mexico State Aggies,Western Kentucky Hilltoppers,625,-1000,17.5,-17.5
2,LSU Tigers,Alabama Crimson Tide,120,-140,2.5,-2.5
2,Arizona State Sun Devils,UCF Knights,-135,115,-2.5,2.5
2,Oregon Ducks,Maryland Terrapins,-3500,1100,-23.5,23.5
2,Tennessee Volunteers,Mississippi State Bulldogs,-4000,1200,-25.5,25.5
2,TCU Horned Frogs,Oklahoma State Cowboys,-450,335,-10.0,10.0
2,Notre Dame Fighting Irish,Florida State Seminoles,-4000,1500,-25.0,25.0
2,Missouri Tigers,Oklahoma Sooners,130,-150,3.0,-3.0
2,Boise State Broncos,Nevada Wolf Pack,-3300,1100,-23.5,23.5
2,Penn State Nittany Lions,Washington Huskies,-575,400,-13.5,13.5
2,Pittsburgh Panthers,Virginia Cavaliers,-280,230,-7.0,7.0
2,Hawaii Rainbow Warriors,UNLV Rebels,390,-550,12.5,-12.5
2,Air Force Falcons,Fresno State Bulldogs,280,-360,9.5,-9.5
2,Utah Utes,BYU Cougars,138,-160,3.0,-3.0
2,Washington State Cougars,Utah State Aggies,-1500,775,-20.5,20.5
2,Buffalo Bulls,Ball State Cardinals,-192,158,-5.0,5.0
2,Bowling Green Falcons,Western Michigan Broncos,-275,220,-7.0,7.0
2,Toledo Rockets,Central Michigan Chippewas,-550,400,-14.0,14.0
2,Northern Illinois Huskies,Akron Zips,-1400,800,-18.0,18.0
2,Ohio Bobcats,Eastern Michigan Eagles,-365,285,-9.0,9.0
2,Miami (OH) RedHawks,Kent State Golden Flashes,-20000,3500,-31.0,31.0
2,Arizona Wildcats,Houston Cougars,-122,102,-1.5,1.5
2,Georgia Bulldogs,Tennessee Volunteers,-315,245,-8.5,8.5
2,Illinois Fighting Illini,Michigan State Spartans,-143,118,-2.5,2.5
2,Stanford Cardinal,Louisville Cardinals,750,-1430,19.5,-19.5
2,USC Trojans,Nebraska Cornhuskers,-360,260,-8.5,8.5
2,Ohio State Buckeyes,Indiana Hoosiers,-385,265,-9.5,9.5
