week,date,team1,team2,location
1,12:00 PM,24,21,(10)Florida State
1,4:00 PM,35,31,New Mexico
1,8:00 PM,29,24,Nevada
1,12:00 AM,35,14,Delaware State
2,8:00 PM,41,3,Alcorn State
2,7:30 PM,70,0,Arkansas-Pine Bluff
2,7:00 PM,41,17,Fordham
2,7:00 PM,30,13,Lafayette
2,7:00 PM,57,3,New Hampshire
2,7:00 PM,66,10,Central Connecticut State
2,8:00 PM,55,27,Jacksonville State
2,8:00 PM,31,26,North Dakota State
2,9:00 PM,45,0,Eastern Illinois
2,8:00 PM,48,3,Lindenwood
2,7:00 PM,30,14,Jackson State
2,8:00 PM,51,0,Murray State
2,9:00 PM,19,17,Minnesota
2,7:00 PM,38,21,Western Carolina
2,6:00 PM,44,7,Howard
2,10:00 PM,42,24,Sacramento State
2,7:30 PM,49,10,Duquesne
2,8:00 PM,52,0,Southeastern Louisiana
2,8:00 PM,62,28,Northwestern State
2,9:00 PM,49,0,Southern Utah
2,7:00 PM,45,13,North Carolina A&T
2,6:00 PM,42,7,Lehigh
2,7:30 PM,26,3,Elon
2,7:00 PM,16,10,Florida Atlantic
2,7:00 PM,51,3,Temple
2,10:30 PM,34,27,Stanford
2,9:00 PM,28,14,Western Michigan
2,3:30 PM,21,6,Merrimack
2,7:00 PM,63,0,Western Kentucky
2,3:30 PM,38,10,East Tennessee State
2,10:30 PM,61,39,New Mexico
2,10:30 PM,48,7,Wyoming
2,7:00 PM,34,31,Central Arkansas
2,7:30 PM,73,3,Alabama A&M
2,7:00 PM,45,3,Tarleton State
2,4:00 PM,56,45,Georgia Southern
2,8:00 PM,41,13,Southern Illinois
2,5:00 PM,31,13,California-Davis
2,2:30 PM,38,20,Towson
2,6:00 PM,42,3,Norfolk State
2,3:30 PM,28,14,Massachusetts
2,12:00 PM,34,3,(14)Clemson
2,8:00 PM,35,12,Georgia State
2,3:30 PM,31,7,Florida International
2,12:00 PM,40,0,Illinois State
2,3:30 PM,21,3,North Dakota
2,8:00 PM,30,7,Charlotte
2,7:00 PM,41,6,Tennessee-Martin
2,7:45 PM,31,0,Southern Mississippi
2,6:00 PM,41,24,Campbell
2,8:00 PM,40,10,Grambling State
2,8:00 PM,25,17,Nicholls State
2,12:00 PM,62,0,Austin Peay
2,5:00 PM,45,3,Stony Brook
2,12:00 PM,50,7,Connecticut
2,7:00 PM,40,0,North Alabama
2,3:30 PM,41,17,Florida
2,7:30 PM,30,10,Fresno State
2,7:00 PM,32,25,Tennessee Tech
2,7:00 PM,76,0,Furman
2,6:00 PM,56,7,Eastern Kentucky
2,12:00 PM,49,21,Bucknell
2,3:30 PM,40,7,Texas-El Paso
2,7:00 PM,28,26,Troy
2,7:00 PM,27,7,Houston
2,9:00 PM,23,16,Southeast Missouri State
2,5:00 PM,52,38,South Alabama
2,3:30 PM,54,15,Western Illinois
2,3:30 PM,13,6,Miami (OH)
2,7:30 PM,23,13,(20)Texas A&M
2,3:30 PM,52,6,Akron
2,2:00 PM,44,20,South Dakota State
2,7:30 PM,24,14,Idaho
2,6:30 PM,38,15,Idaho State
2,12:00 PM,34,12,West Virginia
2,12:00 PM,55,24,Kent State
2,12:00 PM,49,0,Indiana State
2,7:00 PM,34,14,Rice
2,8:00 PM,45,14,Texas A&M-Commerce
2,4:15 PM,23,19,Old Dominion
2,7:00 PM,48,3,Bethune-Cookman
2,8:00 PM,59,7,Houston Baptist
2,3:30 PM,38,22,Ohio
2,12:45 PM,69,3,Chattanooga
2,3:30 PM,52,0,Colorado State
2,8:00 PM,34,27,Lamar
2,7:30 PM,52,51,Abilene Christian
2,3:30 PM,28,16,Kennesaw State
2,7:30 PM,16,13,Hawaii
2,8:00 PM,36,14,Robert Morris
2,12:00 PM,34,27,Virginia Tech
2,6:00 PM,34,13,Richmond
2,11:00 PM,35,3,Weber State
2,3:00 PM,70,30,Portland State
2,7:30 PM,27,20,(13)Louisiana State
2,7:30 PM,28,13,(10)Florida State
3,7:00 PM,18,15,Southern Methodist
3,9:00 PM,26,20,Northwestern
3,7:00 PM,77,3,Western Illinois
