week,date,team1,team1_score,team2,team2_score
1,"Aug 24, 2024",Georgia Tech,24,(10)Florida State,21
1,"Aug 24, 2024",Montana State,35,New Mexico,31
1,"Aug 24, 2024",Southern Methodist,29,Nevada,24
1,"Aug 25, 2024",Hawaii,35,Delaware State,14
2,"Aug 29, 2024",Alabama-Birmingham,41,Alcorn State,3
2,"Aug 29, 2024",Arkansas,70,Arkansas-Pine Bluff,0
2,"Aug 29, 2024",Bowling Green,41,Fordham,17
2,"Aug 29, 2024",Buffalo,30,Lafayette,13
2,"Aug 29, 2024",Central Florida,57,New Hampshire,3
2,"Aug 29, 2024",Central Michigan,66,Central Connecticut State,10
2,"Aug 29, 2024",Coastal Carolina,55,Jacksonville State,27
2,"Aug 29, 2024",Colorado,31,North Dakota State,26
2,"Aug 29, 2024",Illinois,45,Eastern Illinois,0
2,"Aug 29, 2024",(22)Kansas,48,Lindenwood,3
2,"Aug 29, 2024",Louisiana-Monroe,30,Jackson State,14
2,"Aug 29, 2024",(11)Missouri,51,Murray State,0
2,"Aug 29, 2024",North Carolina,19,Minnesota,17
2,"Aug 29, 2024",(24)North Carolina State,38,Western Carolina,21
2,"Aug 29, 2024",Rutgers,44,Howard,7
2,"Aug 29, 2024",San Jose State,42,Sacramento State,24
2,"Aug 29, 2024",Toledo,49,Duquesne,10
2,"Aug 29, 2024",Tulane,52,Southeastern Louisiana,0
2,"Aug 29, 2024",Tulsa,62,Northwestern State,28
2,"Aug 29, 2024",(12)Utah,49,Southern Utah,0
2,"Aug 29, 2024",Wake Forest,45,North Carolina A&T,13
2,"Aug 30, 2024",Army,42,Lehigh,7
2,"Aug 30, 2024",Duke,26,Elon,3
2,"Aug 30, 2024",Michigan State,16,Florida Atlantic,10
2,"Aug 30, 2024",(16)Oklahoma,51,Temple,3
2,"Aug 30, 2024",Texas Christian,34,Stanford,27
2,"Aug 30, 2024",Wisconsin,28,Western Michigan,14
2,"Aug 31, 2024",Air Force,21,Merrimack,6
2,"Aug 31, 2024",(5)Alabama,63,Western Kentucky,0
2,"Aug 31, 2024",Appalachian State,38,East Tennessee State,10
2,"Aug 31, 2024",(21)Arizona,61,New Mexico,39
2,"Aug 31, 2024",Arizona State,48,Wyoming,7
2,"Aug 31, 2024",Arkansas State,34,Central Arkansas,31
2,"Aug 31, 2024",Auburn,73,Alabama A&M,3
2,"Aug 31, 2024",Baylor,45,Tarleton State,3
2,"Aug 31, 2024",Boise State,56,Georgia Southern,45
2,"Aug 31, 2024",Brigham Young,41,Southern Illinois,13
2,"Aug 31, 2024",California,31,California-Davis,13
2,"Aug 31, 2024",Cincinnati,38,Towson,20
2,"Aug 31, 2024",East Carolina,42,Norfolk State,3
2,"Aug 31, 2024",Eastern Michigan,28,Massachusetts,14
2,"Aug 31, 2024",(1)Georgia,34,(14)Clemson,3
2,"Aug 31, 2024",Georgia Tech,35,Georgia State,12
2,"Aug 31, 2024",Indiana,31,Florida International,7
2,"Aug 31, 2024",(25)Iowa,40,Illinois State,0
2,"Aug 31, 2024",Iowa State,21,North Dakota,3
2,"Aug 31, 2024",James Madison,30,Charlotte,7
2,"Aug 31, 2024",(18)Kansas State,41,Tennessee-Martin,6
2,"Aug 31, 2024",Kentucky,31,Southern Mississippi,0
2,"Aug 31, 2024",Liberty,41,Campbell,24
2,"Aug 31, 2024",Louisiana,40,Grambling State,10
2,"Aug 31, 2024",Louisiana Tech,25,Nicholls State,17
2,"Aug 31, 2024",Louisville,62,Austin Peay,0
2,"Aug 31, 2024",Marshall,45,Stony Brook,3
2,"Aug 31, 2024",Maryland,50,Connecticut,7
2,"Aug 31, 2024",Memphis,40,North Alabama,0
2,"Aug 31, 2024",(19)Miami (FL),41,Florida,17
2,"Aug 31, 2024",(9)Michigan,30,Fresno State,10
2,"Aug 31, 2024",Middle Tennessee State,32,Tennessee Tech,25
2,"Aug 31, 2024",(6)Mississippi,76,Furman,0
2,"Aug 31, 2024",Mississippi State,56,Eastern Kentucky,7
2,"Aug 31, 2024",Navy,49,Bucknell,21
2,"Aug 31, 2024",Nebraska,40,Texas-El Paso,7
2,"Aug 31, 2024",Nevada,28,Troy,26
2,"Aug 31, 2024",Nevada-Las Vegas,27,Houston,7
2,"Aug 31, 2024",New Mexico State,23,Southeast Missouri State,16
2,"Aug 31, 2024",North Texas,52,South Alabama,38
2,"Aug 31, 2024",Northern Illinois,54,Western Illinois,15
2,"Aug 31, 2024",Northwestern,13,Miami (OH),6
2,"Aug 31, 2024",(7)Notre Dame,23,(20)Texas A&M,13
2,"Aug 31, 2024",(2)Ohio State,52,Akron,6
2,"Aug 31, 2024",(17)Oklahoma State,44,South Dakota State,20
2,"Aug 31, 2024",(3)Oregon,24,Idaho,14
2,"Aug 31, 2024",Oregon State,38,Idaho State,15
2,"Aug 31, 2024",(8)Penn State,34,West Virginia,12
2,"Aug 31, 2024",Pittsburgh,55,Kent State,24
2,"Aug 31, 2024",Purdue,49,Indiana State,0
2,"Aug 31, 2024",Sam Houston,34,Rice,14
2,"Aug 31, 2024",San Diego State,45,Texas A&M-Commerce,14
2,"Aug 31, 2024",South Carolina,23,Old Dominion,19
2,"Aug 31, 2024",South Florida,48,Bethune-Cookman,3
2,"Aug 31, 2024",Southern Methodist,59,Houston Baptist,7
2,"Aug 31, 2024",Syracuse,38,Ohio,22
2,"Aug 31, 2024",(15)Tennessee,69,Chattanooga,3
2,"Aug 31, 2024",(4)Texas,52,Colorado State,0
2,"Aug 31, 2024",Texas State,34,Lamar,27
2,"Aug 31, 2024",Texas Tech,52,Abilene Christian,51
2,"Aug 31, 2024",Texas-San Antonio,28,Kennesaw State,16
2,"Aug 31, 2024",UCLA,16,Hawaii,13
2,"Aug 31, 2024",Utah State,36,Robert Morris,14
2,"Aug 31, 2024",Vanderbilt,34,Virginia Tech,27
2,"Aug 31, 2024",Virginia,34,Richmond,13
2,"Aug 31, 2024",Washington,35,Weber State,3
2,"Aug 31, 2024",Washington State,70,Portland State,30
2,"Sep 1, 2024",(23)Southern California,27,(13)Louisiana State,20
2,"Sep 2, 2024",Boston College,28,(10)Florida State,13
3,"Sep 6, 2024",Brigham Young,18,Southern Methodist,15
3,"Sep 6, 2024",Duke,26,Northwestern,20
3,"Sep 6, 2024",Indiana,77,Western Illinois,3
3,"Sep 7, 2024",(4)Alabama,42,South Florida,16
3,"Sep 7, 2024",(20)Arizona,22,Northern Arizona,10
3,"Sep 7, 2024",Arizona State,30,Mississippi State,23
3,"Sep 7, 2024",Arkansas State,28,Tulsa,24
3,"Sep 7, 2024",Army,24,Florida Atlantic,7
3,"Sep 7, 2024",Ball State,42,Missouri State,34
3,"Sep 7, 2024",Boston College,56,Duquesne,0
3,"Sep 7, 2024",California,21,Auburn,14
3,"Sep 7, 2024",Central Florida,45,Sam Houston,14
3,"Sep 7, 2024",(25)Clemson,66,Appalachian State,20
3,"Sep 7, 2024",Coastal Carolina,40,William & Mary,21
3,"Sep 7, 2024",Colorado State,38,Northern Colorado,17
3,"Sep 7, 2024",Connecticut,63,Merrimack,17
3,"Sep 7, 2024",East Carolina,20,Old Dominion,14
3,"Sep 7, 2024",Florida,45,Samford,7
3,"Sep 7, 2024",Florida International,52,Central Michigan,16
3,"Sep 7, 2024",Fresno State,46,Sacramento State,30
3,"Sep 7, 2024",(1)Georgia,48,Tennessee Tech,3
3,"Sep 7, 2024",Georgia Southern,20,Nevada,17
3,"Sep 7, 2024",Georgia State,24,Chattanooga,21
3,"Sep 7, 2024",Idaho,17,Wyoming,13
3,"Sep 7, 2024",Illinois,23,(19)Kansas,17
3,"Sep 7, 2024",Iowa State,20,(21)Iowa,19
3,"Sep 7, 2024",James Madison,13,Gardner-Webb,6
3,"Sep 7, 2024",(17)Kansas State,34,Tulane,27
3,"Sep 7, 2024",Liberty,30,New Mexico State,24
3,"Sep 7, 2024",Louisiana,34,Kennesaw State,10
3,"Sep 7, 2024",(18)Louisiana State,44,Nicholls State,21
3,"Sep 7, 2024",Louisiana-Monroe,32,Alabama-Birmingham,6
3,"Sep 7, 2024",(22)Louisville,49,Jacksonville State,14
3,"Sep 7, 2024",Memphis,38,Troy,17
3,"Sep 7, 2024",(12)Miami (FL),56,Florida A&M,9
3,"Sep 7, 2024",Michigan State,27,Maryland,24
3,"Sep 7, 2024",Minnesota,48,Rhode Island,0
3,"Sep 7, 2024",(6)Mississippi,52,Middle Tennessee State,3
3,"Sep 7, 2024",(9)Missouri,38,Buffalo,0
3,"Sep 7, 2024",Navy,38,Temple,11
3,"Sep 7, 2024",Nebraska,28,Colorado,10
3,"Sep 7, 2024",Nevada-Las Vegas,72,Utah Tech,14
3,"Sep 7, 2024",North Carolina,38,Charlotte,20
3,"Sep 7, 2024",North Texas,35,Stephen F. Austin,20
3,"Sep 7, 2024",Northern Illinois,16,(5)Notre Dame,14
3,"Sep 7, 2024",Ohio,27,South Alabama,20
3,"Sep 7, 2024",(2)Ohio State,56,Western Michigan,0
3,"Sep 7, 2024",(15)Oklahoma,16,Houston,12
3,"Sep 7, 2024",(16)Oklahoma State,39,Arkansas,31
3,"Sep 7, 2024",(7)Oregon,37,Boise State,34
3,"Sep 7, 2024",Oregon State,21,San Diego State,0
3,"Sep 7, 2024",(8)Penn State,34,Bowling Green,27
3,"Sep 7, 2024",Pittsburgh,28,Cincinnati,27
3,"Sep 7, 2024",Rice,69,Texas Southern,7
3,"Sep 7, 2024",Rutgers,49,Akron,17
3,"Sep 7, 2024",San Jose State,17,Air Force,7
3,"Sep 7, 2024",South Carolina,31,Kentucky,6
3,"Sep 7, 2024",(13)Southern California,48,Utah State,0
3,"Sep 7, 2024",Southern Mississippi,35,Southeastern Louisiana,10
3,"Sep 7, 2024",Southern Utah,27,Texas-El Paso,24
3,"Sep 7, 2024",St. Francis (PA),23,Kent State,17
3,"Sep 7, 2024",Stanford,41,Cal Poly,7
3,"Sep 7, 2024",Syracuse,31,(23)Georgia Tech,28
3,"Sep 7, 2024",(14)Tennessee,51,(24)North Carolina State,10
3,"Sep 7, 2024",(3)Texas,31,(10)Michigan,12
3,"Sep 7, 2024",Texas A&M,52,McNeese State,10
3,"Sep 7, 2024",Texas Christian,45,Long Island,0
3,"Sep 7, 2024",Texas State,49,Texas-San Antonio,10
