week,home_team,away_team,home_odds,away_odds,home_spread,away_spread
0,UAB Blazers,UConn Huskies,-210,160,-4.5,4.5
0,Southern Mississippi Golden Eagles,Marshall Thundering Herd,800,-1800,20.5,-20.5
0,North Texas Mean Green,Army Black Knights,170,-225,4.5,-4.5
0,James Madison Dukes,Georgia State Panthers,-1800,800,-20.5,20.5
0,Indiana Hoosiers,Michigan Wolverines,-525,340,-11.5,11.5
0,Oregon State Beavers,San Jose State Spartans,-155,120,-3.5,3.5
0,NC State Wolfpack,Duke Blue Devils,-145,110,-2.5,2.5
0,Virginia Tech Hokies,Clemson Tigers,175,-225,5.5,-5.5
0,Kansas Jayhawks,Iowa State Cyclones,200,-275,7.5,-7.5
0,Ole Miss Rebels,Georgia Bulldogs,120,-140,2.0,-2.0
0,Texas Tech Red Raiders,Colorado Buffaloes,165,-195,5.0,-5.0
0,UTEP Miners,Kennesaw State Owls,-200,170,-4.5,4.5
0,Tulane Green Wave,Temple Owls,-6500,1300,-26.5,26.5
0,Vanderbilt Commodores,South Carolina Gamecocks,180,-220,6.0,-6.0
0,Louisiana Tech Bulldogs,Jacksonville State Gamecocks,290,-380,9.5,-9.5
0,Louisiana Ragin Cajuns,Arkansas State Red Wolves,-625,430,-13.5,13.5
0,New Mexico State Aggies,Western Kentucky Hilltoppers,625,-1000,17.5,-17.5
0,LSU Tigers,Alabama Crimson Tide,120,-140,2.5,-2.5
0,Arizona State Sun Devils,UCF Knights,-135,115,-2.5,2.5
0,Oregon Ducks,Maryland Terrapins,-3500,1100,-23.5,23.5
0,Tennessee Volunteers,Mississippi State Bulldogs,-4000,1200,-25.5,25.5
0,TCU Horned Frogs,Oklahoma State Cowboys,-450,335,-10.0,10.0
0,Notre Dame Fighting Irish,Florida State Seminoles,-4000,1500,-25.0,25.0
0,Missouri Tigers,Oklahoma Sooners,130,-150,3.0,-3.0
0,Boise State Broncos,Nevada Wolf Pack,-3300,1100,-23.5,23.5
0,Penn State Nittany Lions,Washington Huskies,-575,400,-13.5,13.5
0,Pittsburgh Panthers,Virginia Cavaliers,-280,230,-7.0,7.0
0,Hawaii Rainbow Warriors,UNLV Rebels,390,-550,12.5,-12.5
0,Air Force Falcons,Fresno State Bulldogs,280,-360,9.5,-9.5
0,Utah Utes,BYU Cougars,138,-160,3.0,-3.0
0,Washington State Cougars,Utah State Aggies,-1500,775,-20.5,20.5
0,Buffalo Bulls,Ball State Cardinals,-192,158,-5.0,5.0
0,Bowling Green Falcons,Western Michigan Broncos,-275,220,-7.0,7.0
0,Toledo Rockets,Central Michigan Chippewas,-550,400,-14.0,14.0
0,Northern Illinois Huskies,Akron Zips,-1400,800,-18.0,18.0
0,Ohio Bobcats,Eastern Michigan Eagles,-365,285,-9.0,9.0
0,Miami (OH) RedHawks,Kent State Golden Flashes,-20000,3500,-31.0,31.0
0,Arizona Wildcats,Houston Cougars,-122,102,-1.5,1.5
0,Georgia Bulldogs,Tennessee Volunteers,-315,245,-8.5,8.5
0,Illinois Fighting Illini,Michigan State Spartans,-143,118,-2.5,2.5
0,Stanford Cardinal,Louisville Cardinals,750,-1430,19.5,-19.5
0,USC Trojans,Nebraska Cornhuskers,-360,260,-8.5,8.5
0,Ohio State Buckeyes,Indiana Hoosiers,-385,265,-9.5,9.5
